PiratesID,PlayerName,OrgCode,PrefPos,SplitTypeCode,RAA,RAA_635,AdjProd,ERA,IP,,
11AB659D-C4D0-40C4-BD53-97783959CB83,"Peraza, Santiago",CLE,RHS,EPS,-0.18855,-119.72925,0,14.89655,0.16832,,
A4DCA71A-0082-455B-8FD6-B35EE74C08B9,"Ramos, Albert",DET,RHS,EPSvsR,-0.13051,-131.2686709,0,15.88236,0.10355,,
A4DCA71A-0082-455B-8FD6-B35EE74C08B9,"Ramos, Albert",DET,RHS,EPSvsL,-0.06864,-118.2260558,0,14.84999,0.06091,,
A4DCA71A-0082-455B-8FD6-B35EE74C08B9,"Ramos, Albert",DET,RHS,EPS,-0.19915,-126.46025,0,15.70909,0.1675,,
A55C5FEA-BBFB-4A27-8937-DCFDF38E3529,"Adon, Joan",WSH,RHS,EPSvsR,-7.67624,-21.36931995,0.71232,5.55319,51.37971,,
A55C5FEA-BBFB-4A27-8937-DCFDF38E3529,"Adon, Joan",WSH,RHS,EPSvsL,-8.07066,-26.34749871,0.64531,5.89916,43.36302,,
A55C5FEA-BBFB-4A27-8937-DCFDF38E3529,"Adon, Joan",WSH,RHS,EPS,-15.74612,-23.65938512,0.6815,5.71154,94.74273,,
C6645953-6B62-4C1C-A209-6FF7B94852F4,"Whorff, Jarret",MIN,RHS,EPSvsR,-0.03428,-38.00509812,0.48838,6.75,0.12317,,
C6645953-6B62-4C1C-A209-6FF7B94852F4,"Whorff, Jarret",MIN,RHS,EPS,-0.06386,-40.5511,0.45411,6.99281,0.21401,,
C6645953-6B62-4C1C-A209-6FF7B94852F4,"Whorff, Jarret",MIN,RHS,EPSvsL,-0.02958,-43.96428237,0.40816,7.32203,0.09084,,
7C23474A-5EBB-4E51-ADDD-708ADC26DA33,"Nunez, Ariel",ARI,RHS,EPSvsR,-0.11057,-85.44302334,0,0,0,,
7C23474A-5EBB-4E51-ADDD-708ADC26DA33,"Nunez, Ariel",ARI,RHS,EPSvsL,-0.07108,-78.43157017,0,0,0,,
7C23474A-5EBB-4E51-ADDD-708ADC26DA33,"Nunez, Ariel",ARI,RHS,EPS,-0.18163,-82.54609152,0,0,0.33333,,
A107DE26-21C6-4C3A-9326-71D7DD1CF1A6,"Ullola, Miguel",HOU,RHS,EPSvsR,-10.05087,-26.35586575,0.6452,5.89091,53.82953,,
A107DE26-21C6-4C3A-9326-71D7DD1CF1A6,"Ullola, Miguel",HOU,RHS,EPSvsL,-10.09396,-29.82650628,0.59847,6.1875,46.9785,,
A107DE26-21C6-4C3A-9326-71D7DD1CF1A6,"Ullola, Miguel",HOU,RHS,EPS,-20.14483,-27.98768558,0.62323,6.02913,100.80803,,
53E97DB0-4401-432A-9907-724BE2AA6CAF,"Portorreal, Leuris",WSH,RHS,EPSvsR,-0.1281,-135.5973595,0,16.5,0.09892,,
53E97DB0-4401-432A-9907-724BE2AA6CAF,"Portorreal, Leuris",WSH,RHS,EPS,-0.20125,-127.79375,0,15.55435,0.16853,,
53E97DB0-4401-432A-9907-724BE2AA6CAF,"Portorreal, Leuris",WSH,RHS,EPSvsL,-0.07315,-116.0907978,0,14.21052,0.06961,,
154FB51B-5577-47FF-92C4-73E21DAD7B43,"Dishmey, Eliazar",MIA,RHS,EPSvsR,-0.03834,-45.76813174,0.38385,7.44095,0.11145,,
154FB51B-5577-47FF-92C4-73E21DAD7B43,"Dishmey, Eliazar",MIA,RHS,EPSvsL,-0.03784,-51.33615348,0.30895,7.85454,0.09653,,
154FB51B-5577-47FF-92C4-73E21DAD7B43,"Dishmey, Eliazar",MIA,RHS,EPS,-0.07618,-48.3743,0.34879,7.60084,0.20886,,
05B82CB4-AC35-4B79-9210-74372E35C212,"Keane, Sebastian",NYY,RHS,EPSvsR,-0.05,-57.21029966,0.22986,8.40566,0.11343,,
05B82CB4-AC35-4B79-9210-74372E35C212,"Keane, Sebastian",NYY,RHS,EPSvsL,-0.04074,-58.13068782,0.21736,8.25882,0.09096,,
B6858CC0-E1BB-4E4B-A4B7-218E83B2FE3F,"Gilbreath, Lucas",COL,LHR,EPSvsR,-2.8527,-22.76253642,0.69357,5.86957,17.79866,,
B6858CC0-E1BB-4E4B-A4B7-218E83B2FE3F,"Gilbreath, Lucas",COL,LHR,EPS,-3.59706,-17.94802605,0.75838,5.47297,28.63263,,
B6858CC0-E1BB-4E4B-A4B7-218E83B2FE3F,"Gilbreath, Lucas",COL,LHR,EPSvsL,-0.74439,-9.913170978,0.86655,4.82143,10.83396,,
E2AAAA20-EC9C-441D-AFA0-24D558FEAA19,"Milner, Hoby",MIL,LHR,EPSvsR,0.14728,0.612607025,1.00825,3.89423,36.6667,,
